x,y
-3.0909846,-3.2567174
-5.7935,-5.703243
-3.4969058,-6.086867
-1.732791,-5.553354
-2.064367,-5.5082555
-4.78956,-5.6565666
-3.8777847,-4.25172
-5.219522,-4.153828
-5.857886,-5.8096623
-2.1317058,-3.83609
-3.9479551,-6.5763183
-2.2593794,-5.62695
-2.612176,-7.030318
-3.1968622,-3.6606076
-4.3447676,-6.432073
-1.9560356,-5.3193574
-2.1082513,-4.958464
-4.719884,-3.7345116
-4.1750546,-3.474087
-2.925642,-3.4730966
-2.6958873,-4.427079
-3.5082877,-5.8477407
-4.9576507,-4.842241
-5.221832,-3.8661437
-4.4940743,-5.1600733
-5.333943,-3.991348
-3.8198829,-5.110857
-4.4579663,-4.077994
-3.8559673,-6.9393644
-4.411273,-4.905925
-3.7428317,-3.6611645
-3.034011,-6.184134
-3.8826976,-4.41782
-5.475054,-4.7769217
-5.2154384,-6.2140827
-4.665001,-6.0006576
-4.564394,-4.335551
-3.752776,-4.6764402
-2.1083682,-4.660324
-2.8595512,-5.738096
-4.094422,-5.3837976
-3.905663,-5.6739306
-5.44625,-5.530228
-2.416767,-5.072473
-3.6915016,-3.240719
-3.5999136,-7.200179
-3.3544781,-4.3555408
-2.580056,-3.9613059
-5.049204,-6.184576
-2.4047794,-6.8382497
-3.9474504,-3.96577
-4.6510696,-5.5662646
-2.5281384,-4.5901766
-5.246109,-4.613302
-2.1410928,-6.1599526
-2.2430985,-6.7766647
-5.504457,-5.4074073
-4.608935,-4.9003
-1.9080551,-4.114891
-2.8921385,-4.3674254
-2.5451972,-5.2695804
-4.561248,-4.139007
-3.3454242,-3.9217212
-3.2405996,-5.0736175
-3.1927743,-6.928973
-2.3279016,-4.334213
-3.2692015,-6.253004
-5.3906703,-5.2127376
-3.9890628,-5.0748177
-2.3635004,-6.7748165
-3.084134,-5.235305
-3.2651985,-5.382835
-2.5645366,-6.566625
-2.727096,-4.9647737
-3.680004,-5.297446
-4.885604,-4.4086843
-1.896148,-4.6175337
-3.1395502,-3.5767376
-3.1271465,-4.771864
-3.6830487,-5.0298643
-4.2423244,-5.5193005
-2.3145044,-3.6360602
-4.3183675,-6.0486736
-4.802333,-5.1966763
-2.9456227,-3.9879613
-3.9655867,-5.801875
-2.7817862,-3.513703
-3.989701,-3.7178507
-3.5084074,-7.0949464
-4.084354,-4.518292
-2.5586402,-4.651007
